,permit_number,permit_subtype,date_entered,date_issued,business_name,zip,latitude,longitude,permit_duration
547,15-00981,ONOFFSALES,2015-02-12,2015-03-12,Lonnie's Western Room,37201,36.164162,-86.777915,2333 days
548,14-00970,ONOFFSALES,2014-08-13,2014-09-22,Party Fowl,37203,36.149897,-86.779175,2504 days
549,13-19825,ONSALES,2013-10-29,2013-11-21,City Fire,37203,36.168538,-86.749775,2809 days
550,18-25416,ONSALES,2018-03-09,2018-04-12,JAZZY'S BISTRO,37207,36.208402,-86.778902,1206 days
551,02-17937,ONSALES,2002-06-21,2002-08-28,The End A.K.A Elliston Square,37203,36.15129,-86.804151,6912 days
552,12-19556,ONSALES,2012-09-20,2017-12-01,Gaylord Hotel Governors Ballroom,37214,36.211694,-86.697639,1338 days
553,17-20485,ONSALES,2016-09-01,2017-04-27,Headquarters Beercade,37201,36.161301,-86.77479,1556 days
554,17-20491,ONSALES,2017-03-31,2017-05-02,Thompson Place Golfing and Gro,37218,36.207525,-86.836049,1551 days
555,10-19208,ONSALES,2010-09-03,2010-11-04,Canvas,37203,36.155556,-86.796424,3922 days
556,14-19902,ONSALES,2014-05-01,2014-05-29,Uno Billiards & Cafe,37217,36.130246,-86.713868,2620 days
557,17-20476,ONSALES,2017-03-27,2017-04-14,Ascend Amphitheater,37201,36.168162,-86.771702,1569 days
558,10-19098,ONSALES,2010-09-30,2010-10-14,Meeting Rooms,37203,36.152257,-86.795086,3943 days
559,18-25566,ONSALES,2018-06-21,2018-08-23,CHISMES CAFE,37211,36.085944,-86.729192,1073 days
560,14-19877,ONSALES,2014-04-02,2014-04-24,Hampton Inn & Suites Green,37215,36.109727,-86.817384,2655 days
561,16-20241,ONSALES,2016-02-08,2016-03-03,Hi Fi Clydes,37203,36.155706,-86.796126,1976 days
562,05-18379,ONSALES,2005-08-17,2005-09-08,"Beyond The Edge, LLC",37206,36.176653,-86.74999,5805 days
563,16-20391,ONSALES,2016-06-29,2016-12-22,Urban Cowboy Bed & Breakfast,37206,36.176862,-86.741685,1682 days
564,17-25047,ONSALES,2017-05-22,2017-06-08,JIM 'N NICKS Bar-B-Q NASHVILLE WEST,37209,36.12922,-86.904914,1514 days
565,94-16127,ONSALES,1993-07-30,1994-02-01,Cock of the Walk,37214,36.235585,-86.706003,10042 days
566,03-18048,ONSALES,2003-05-12,2003-06-12,Mafiaoza's,37204,36.126134,-86.78927,6624 days
567,18-25619,SPECIAL,2018-07-31,2018-09-18,GREENWAYS FOR NASHVILLE/DINNER BY THE BRIDGE,37213,36.163415,-86.768974,1047 days
568,18-25455,ONSALES,2018-04-06,2018-07-12,EL JALICIENSE MEXICAN RESTAURANT,37216,36.207335,-86.735786,1115 days
569,12-19559,ONSALES,2012-09-20,2012-10-11,Gaylord Hotel Hermitage A-E,37214,36.211694,-86.697639,3215 days
570,14-20011,ONSALES,2014-09-23,2014-11-20,Fairfield Inn & Suites Nashvil,37203,36.150486,-86.781291,2445 days
571,18-25733,ONSALES,2018-10-18,2019-04-11,TIN ROOF,37203,36.152921,-86.790002,842 days
572,18-25638,ONSALES,2018-08-08,2018-11-16,THE CANDLE BAR,37204,36.107946,-86.755637,988 days
573,19-25934,ONSALES,2019-03-13,2019-04-24,THE THIRSTY TURTLE SPORTS GRILL,37013,36.045864,-86.674949,829 days
574,04-18231,ONSALES,2004-07-14,2004-08-12,"3 Crow Bar, LLC",37206,36.177398,-86.750306,6197 days
575,18-25588,ONSALES,2018-07-16,2018-08-23,LA COSTA NAYARITA,37013,36.041536,-86.660999,1073 days
576,14-19942,ONSALES,2014-06-25,2014-07-24,Taziki's Mediterranean Cafe,37067,36.18996,-86.614979,2564 days
577,04-00724,ONOFFSALES,2004-11-22,2004-12-15,Ms. Kelli's,37201,36.164585,-86.777955,6072 days
578,08-18928,ONSALES,2008-10-10,2008-11-20,Giovanni's,37212,36.148274,-86.797978,4636 days
579,18-25781,ONOFFSALES,2018-11-26,2019-01-11,BROADWAY BREWHOUSE,37203,36.15088,-86.796614,932 days
580,18-25561,ONSALES,2018-06-18,2018-07-12,THE CORNER BAR AT ELLISTON PLACE,37203,36.151907,-86.803873,1115 days
581,09-18994,ONSALES,2009-04-30,2009-05-14,Jalisco Mexican Restaurant,37214,36.148258,-86.666277,4461 days
582,11-19389,ONSALES,2011-10-27,2011-11-17,Opry Mills Stadium 20,37214,36.20628,-86.693591,3544 days
583,18-25794,ONSALES,2018-12-04,2019-01-10,VALENTINO'S RISTORANTE,37203,36.153649,-86.797487,933 days
584,17-20459,ONSALES,2016-09-16,2017-03-10,Kung Fu Saloon,37203,36.149389,-86.797625,1604 days
585,14-20034,ONSALES,2014-11-14,2014-12-19,ACME Feed & Seed,37201,36.162196,-86.774548,2416 days
586,16-20245,ONSALES,2016-02-19,2016-03-10,Pharoah's Lounge,37217,36.078678,-86.643493,1969 days
587,00-17677,ONSALES,2000-11-22,2000-12-07,Rainforest Cafe,37214,36.203318,-86.69477,7541 days
588,05-00730,ONOFFSALES,2005-01-27,2005-02-10,The Villager Tavern,37215,36.178362,-86.811467,6015 days
589,18-25783,ONSALES,2018-11-28,2019-01-11,BREWHOUSE 100,37221,36.044782,-86.954432,932 days
590,05-18323,ONSALES,2005-03-03,2005-04-15,Korea House,37209,36.143456,-86.873909,5951 days
